"supplier_name","supplier_city"
"Philips India","Chennai"
"Pigeon India","Bengaluru"
"Samsung India","Kolkata"
"Xiaomi India","Delhi"
"Havells India","Ahmedabad"
"Microsoft India","Pune"
"Eureka Forbes","Hyderabad"
"Bajaj Tech","Bengaluru"
"Bajaj Electricals","Kolkata"
"Bose India","Hyderabad"
"Fitbit India","Bengaluru"
"LG Electronics","Chennai"
"Nikon India","Mumbai"
"Whirlpool India","Delhi"
"Sony India","Mumbai"
"Butterfly Appliances","Jaipur"
"Tata Electronics","Mumbai"
"Preethi Appliances","Pune"
"Kent RO Systems","Lucknow"
"Voltas Ltd","Ahmedabad"
