"delivery_city","count"
"Madurai","1"
"Bhopal","1"
"Gurgaon","1"
"Kanpur","1"
"Rajkot","1"
"Faridabad","1"
"Indore","1"
"Kochi","1"
"Pune","1"
"Nagpur","1"
"Vellore","1"
"Vadodara","1"
"Jodhpur","1"
"Mysuru","1"
"Gwalior","1"
"Delhi","1"
"Thane","1"
"Dehradun","1"
"Bengaluru","1"
"Ludhiana","1"
"Agra","1"
"Bhubaneshwar","1"
"Surat","1"
"Ranchi","1"
"Varanasi","1"
"Chennai","1"
"Nashik","1"
"Patna","1"
"Noida","1"
"Hyderabad","1"
"Aurangabad","1"
"Amritsar","1"
"Raipur","1"
"Lucknow","1"
"Ghaziabad","1"
"Kolkata","1"
"Ahmedabad","1"
"Coimbatore","1"
"Mumbai","2"
